County_Name,pct_rural
Morris,6
Ocean,2
Passaic,2
Salem,45
Somerset,5
Sussex,39
Union,0
Warren,37
Bernalillo,4
Catron,100
Chaves,24
Cibola,55
Colfax,52
Curry,14
De Baca,100
Dona Ana,19
Eddy,20
Grant,42
Guadalupe,44
Harding,100
Hidalgo,100
Lea,21
Lincoln,53
Los Alamos,11
Luna,40
McKinley,57
Mora,100
Otero,29
Quay,41
Rio Arriba,49
Roosevelt,36
Sandoval,17
San Juan,33
San Miguel,46
Santa Fe,25
Sierra,33
Socorro,49
Taos,58
Torrance,98
Union,100
Valencia,16
Albany,9
Allegany,78
Bronx,0
Broome,26
Cattaraugus,61
Cayuga,55
Chautauqua,43
Chemung,24
Chenango,83
Clinton,64
Columbia,73
Cortland,44
Delaware,78
Dutchess,25
Erie,9
Essex,74
Franklin,62
Fulton,50
Genesee,59
Greene,73
Hamilton,100
Herkimer,51
Jefferson,48
Kings,0
Lewis,86
Livingston,54
Madison,58
Monroe,6
Montgomery,40
Nassau,0
New York,0
Niagara,22
Oneida,32
Onondaga,12
Ontario,47
Orange,22
Orleans,60
Oswego,61
Otsego,70
Putnam,20
Queens,0
Rensselaer,30
Richmond,0
Rockland,0
St. Lawrence,61
Saratoga,29
Schenectady,8
Schoharie,82
Schuyler,81
Seneca,58
Steuben,60
Suffolk,2
Sullivan,74
Tioga,65
Tompkins,43
Ulster,46
Warren,33
Washington,67
Wayne,60
Westchester,3
Wyoming,64
Yates,71
Alamance,28
Alexander,72
Alleghany,100
Anson,78
Ashe,84
Avery,88
Beaufort,65
Bertie,83
Bladen,91
Brunswick,42
Buncombe,24
Burke,42
Cabarrus,19
Caldwell,34
Camden,99
Carteret,32
Caswell,99
Catawba,30
Chatham,65
Cherokee,100
Chowan,67
Clay,100
Cleveland,55
Columbus,80
Craven,27
Cumberland,13
Currituck,98
Dare,28
Davidson,47
Davie,70
Duplin,86
Durham,5
Edgecombe,45
Forsyth,7
Franklin,85
Gaston,19
Gates,100
Graham,100
Granville,54
Greene,100
Guilford,12
Halifax,54
Harnett,55
Haywood,55
Henderson,33
Hertford,68
Hoke,43
Hyde,100
Iredell,37
Jackson,73
Johnston,52
Jones,100
