County_Name,mental_health_provider
Hampden,108
Hampshire,109
Middlesex,172
Nantucket,252
Norfolk,164
Plymouth,184
Suffolk,121
Worcester,199
Alcona,1727
Alger,1516
Allegan,1139
Alpena,338
Antrim,2921
Arenac,501
Baraga,756
Barry,927
Bay,401
Benzie,772
Berrien,452
Branch,661
Calhoun,311
Cass,906
Charlevoix,536
Cheboygan,1059
Chippewa,313
Clare,992
Clinton,891
Crawford,695
Delta,652
Dickinson,321
Eaton,590
Emmet,327
Genesee,348
Gladwin,905
Gogebic,559
Grand Traverse,232
Gratiot,606
Hillsdale,683
Houghton,549
Huron,799
Ingham,263
Ionia,713
Iosco,512
Iron,855
Isabella,371
Jackson,365
Kalamazoo,263
Kalkaska,2228
Kent,287
Keweenaw,0
Lake,1485
Lapeer,704
Leelanau,1979
Lenawee,439
Livingston,542
Luce,698
Mackinac,568
Macomb,536
Manistee,791
Marquette,268
Mason,331
Mecosta,778
Menominee,884
Midland,418
Missaukee,5038
Monroe,607
Montcalm,508
Montmorency,772
Muskegon,476
Newaygo,537
Oakland,291
Oceana,2958
Ogemaw,1232
Ontonagon,2898
Osceola,729
Oscoda,2069
Otsego,404
Ottawa,571
Presque Isle,6369
Roscommon,1327
Saginaw,378
St. Clair,410
St. Joseph,587
Sanilac,654
Schoolcraft,448
Shiawassee,656
Tuscola,375
Van Buren,786
Washtenaw,189
Wayne,339
Wexford,413
Aitkin,2272
Anoka,620
Becker,491
Beltrami,281
Benton,6758
Big Stone,4989
Blue Earth,344
Brown,465
Carlton,689
Carver,624
Cass,1181
Chippewa,1491
Chisago,874
Clay,429
Clearwater,0
Cook,1348
Cottonwood,867
Crow Wing,340
Dakota,570
Dodge,3470
Douglas,500
Faribault,2293
Fillmore,5265
Freeborn,870
Goodhue,1079
Grant,6021
Hennepin,256
Houston,4645
Hubbard,790
Isanti,588
Itasca,386
Jackson,1101
Kanabec,900
Kandiyohi,273
Kittson,0
Koochiching,778
Lac qui Parle,6658
Lake,1523
Lake of the Woods,3758
Le Sueur,4071
Lincoln,5673
Lyon,557
McLeod,466
Mahnomen,0
Marshall,0
Martin,942
Meeker,1446
Mille Lacs,408
Morrison,829
Mower,909
Murray,1655
Nicollet,376
Nobles,877
Norman,0
Olmsted,264
Otter Tail,744
Pennington,506
Pine,602
Pipestone,905
Polk,444
Pope,925
Ramsey,242
Red Lake,0
Redwood,3812
Renville,3653
Rice,686
Rock,785
Roseau,3030
St. Louis,380
Scott,996
Sherburne,589
Sibley,2505
Stearns,321
Steele,443
Stevens,750
Swift,935
Todd,2235
Traverse,0
Wabasha,3608
Wadena,320
Waseca,3738
Washington,402
Watonwan,1569
Wilkin,417
Winona,535
Wright,897
Yellow Medicine,1959
Adams,1040
Alcorn,345
Amite,12326
Attala,3673
Benton,2757
Bolivar,1741
Calhoun,14436
Carroll,0
Chickasaw,4293
Choctaw,828
Claiborne,2251
Clarke,3901
Clay,554
Coahoma,206
Copiah,14272
Covington,1450
DeSoto,1190
Forrest,269
Franklin,0
George,4042
Greene,6793
Grenada,1914
Hancock,3945
Harrison,485
Hinds,346
Holmes,3524
Humphreys,0
Issaquena,0
Itawamba,5879
Jackson,660
Jasper,8214
Jefferson,7106
Jefferson Davis,1248
Jones,1122
Kemper,0
Lafayette,170
Lamar,2602
Lauderdale,333
Lawrence,0
Leake,0
Lee,186
Leflore,211
Lincoln,1629
Lowndes,526
Madison,636
Marion,1901
Marshall,3545
Monroe,11855
Montgomery,5012
Neshoba,1387
Newton,3063
Noxubee,658
Oktibbeha,528
Panola,1139
Pearl River,2130
Perry,11931
Pike,250
Pontotoc,2449
Prentiss,904
Quitman,2350
Rankin,802
Scott,9429
Sharkey,0
Simpson,3345
Smith,8001
Stone,4679
Sunflower,4289
Tallahatchie,2797
Tate,7190
Tippah,1047
Tishomingo,973
Tunica,3315
Union,4768
Walthall,14465
Warren,212
Washington,715
Wayne,2900
Webster,1398
Wilkinson,4396
Winston,586
Yalobusha,6196
Yazoo,856
Adair,528
Andrew,4402
Atchison,1724
Audrain,520
Barry,1495
Barton,1475
Bates,1813
Benton,1483
Bollinger,2434
Boone,280
Buchanan,561
Butler,368
Caldwell,9108
Callaway,561
Camden,739
Cape Girardeau,361
Carroll,2914
Carter,1009
Cass,1265
Cedar,1288
Chariton,1863
Christian,916
Clark,3421
Clay,835
Clinton,2274
Cole,530
Cooper,926
Crawford,2396
Dade,1514
Dallas,3352
Daviess,4157
DeKalb,0
Dent,813
Douglas,1672
Dunklin,499
Franklin,843
Gasconade,1471
Gentry,2209
Greene,281
Grundy,551
Harrison,1202
Henry,357
Hickory,1902
Holt,4404
Howard,1690
Howell,431
Iron,1018
Jackson,422
Jasper,425
Jefferson,1187
Johnson,697
Knox,1974
Laclede,729
Lafayette,694
Lawrence,767
Lewis,1643
Lincoln,1373
Linn,4012
