County_Name,pct_uninsured
Stanton,7
Thayer,9
Thomas,13
Thurston,15
Valley,11
Washington,6
Wayne,7
Webster,9
Wheeler,11
York,8
Churchill,13
Clark,13
Douglas,12
Elko,13
Esmeralda,13
Eureka,7
Humboldt,15
Lander,12
Lincoln,12
Lyon,13
Mineral,11
Nye,12
Pershing,15
Storey,8
Washoe,12
White Pine,10
Carson City,12
Belknap,7
Carroll,8
Cheshire,7
Coos,7
Grafton,8
Hillsborough,7
Merrimack,7
Rockingham,5
Strafford,7
Sullivan,7
Atlantic,10
Bergen,8
Burlington,5
Camden,7
Cape May,8
Cumberland,12
Essex,11
Gloucester,5
Hudson,13
Hunterdon,4
Mercer,9
Middlesex,8
Monmouth,6
Morris,5
Ocean,7
Passaic,13
Salem,7
Somerset,5
Sussex,6
Union,11
Warren,7
Bernalillo,9
Catron,10
Chaves,11
Cibola,12
Colfax,9
Curry,9
De Baca,13
Dona Ana,11
Eddy,8
Grant,7
Guadalupe,8
Harding,9
Hidalgo,10
Lea,11
Lincoln,12
Los Alamos,3
Luna,12
McKinley,17
Mora,9
Otero,10
Quay,9
Rio Arriba,11
Roosevelt,13
Sandoval,9
San Juan,13
San Miguel,8
Santa Fe,13
Sierra,9
Socorro,12
Taos,12
Torrance,10
Union,11
Valencia,10
Albany,4
Allegany,5
Bronx,8
Broome,5
Cattaraugus,6
Cayuga,5
Chautauqua,5
Chemung,4
Chenango,5
Clinton,5
Columbia,6
Cortland,4
Delaware,6
Dutchess,5
Erie,4
Essex,5
Franklin,7
Fulton,5
Genesee,4
Greene,5
Hamilton,6
Herkimer,4
Jefferson,4
Kings,7
Lewis,5
Livingston,4
Madison,4
Monroe,4
Montgomery,6
Nassau,5
New York,6
Niagara,5
Oneida,5
Onondaga,5
Ontario,4
Orange,5
Orleans,5
Oswego,5
Otsego,5
Putnam,4
Queens,10
Rensselaer,4
Richmond,4
Rockland,5
St. Lawrence,6
Saratoga,3
Schenectady,4
Schoharie,5
Schuyler,5
Seneca,6
Steuben,6
Suffolk,5
Sullivan,6
Tioga,4
Tompkins,5
Ulster,6
Warren,5
Washington,5
Wayne,4
Westchester,6
Wyoming,4
Yates,8
Alamance,14
Alexander,13
Alleghany,18
Anson,13
Ashe,15
Avery,19
Beaufort,13
Bertie,13
Bladen,16
Brunswick,13
Buncombe,13
Burke,14
Cabarrus,10
Caldwell,13
Camden,11
Carteret,12
Caswell,12
Catawba,13
Chatham,14
Cherokee,13
Chowan,11
Clay,15
Cleveland,11
Columbus,14
Craven,11
Cumberland,10
Currituck,12
Dare,13
Davidson,12
Davie,12
Duplin,19
Durham,13
Edgecombe,12
Forsyth,12
Franklin,14
Gaston,11
Gates,11
Graham,18
Granville,11
Greene,18
Guilford,11
Halifax,13
Harnett,13
Haywood,12
Henderson,15
Hertford,11
Hoke,15
Hyde,15
Iredell,11
Jackson,18
Johnston,14
Jones,15
Lee,15
Lenoir,13
Lincoln,12
McDowell,12
Macon,15
Madison,12
Martin,10
Mecklenburg,12
