County_Name,personal_income_per_capita
Gasconade,40316
Gentry,41470
Greene,44837
Grundy,34723
Harrison,38274
Henry,43018
Hickory,27787
Holt,45259
Howard,38796
Howell,34055
Iron,34164
Jackson,47054
Jasper,39973
Jefferson,42780
Johnson,36777
Knox,32711
Laclede,36558
Lafayette,42119
Lawrence,34301
Lewis,35249
Lincoln,40788
Linn,40356
Livingston,39805
McDonald,28018
Macon,42414
Madison,36865
Maries,33348
Marion,41068
Mercer,32388
Miller,35547
Mississippi,32216
Moniteau,37533
Monroe,42672
Montgomery,40396
Morgan,42873
New Madrid,33869
Newton,39334
Nodaway,31013
Oregon,28722
Osage,45582
Ozark,30043
Pemiscot,32811
Perry,41321
Pettis,37763
Phelps,39132
Pike,34828
Platte,58878
Polk,33703
Pulaski,40512
Putnam,33945
Ralls,40698
Randolph,39903
Ray,42305
Reynolds,35034
Ripley,30437
St. Charles,53745
St. Clair,29830
Ste. Genevieve,41822
St. Francois,34485
St. Louis,71360
Saline,38580
Schuyler,29013
Scotland,33262
Scott,40221
Shannon,30503
Shelby,40356
Stoddard,37020
Stone,38900
Sullivan,37649
Taney,35956
Texas,28169
Vernon,35930
Warren,41674
Washington,29606
Wayne,29581
Webster,32589
Worth,35573
Wright,32178
St. Louis City,47643
Beaverhead,44664
Big Horn,30533
Blaine,31263
Broadwater,39306
Carbon,47442
Carter,44358
Cascade,47518
Chouteau,37340
Custer,44689
Daniels,48086
Dawson,45295
Deer Lodge,39063
Fallon,49509
Fergus,43808
Flathead,47331
Gallatin,54734
Garfield,36291
Glacier,34458
Golden Valley,49137
Granite,43791
Hill,45017
Jefferson,47960
Judith Basin,50492
Lake,39365
Lewis and Clark,48562
Liberty,40956
Lincoln,35432
McCone,42209
Madison,49115
Meagher,46128
Mineral,39957
Missoula,49492
Musselshell,43133
Park,48114
Petroleum,35772
Phillips,39172
Pondera,42363
Powder River,32479
Powell,39771
Prairie,44739
Ravalli,44602
Richland,61217
Roosevelt,34794
Rosebud,42250
Sanders,34896
Sheridan,52541
Silver Bow,48939
Stillwater,51773
Sweet Grass,44455
Teton,44369
Toole,45481
Treasure,48415
Valley,46911
Wheatland,35934
Wibaux,50940
Yellowstone,52340
Adams,49139
Antelope,46981
Arthur,46901
Banner,58252
Blaine,45788
Boone,54024
Box Butte,47359
Boyd,55795
Brown,51496
Buffalo,54052
Burt,50268
Butler,47286
Cass,53602
Cedar,52839
Chase,49267
Cherry,45124
Cheyenne,48263
Clay,47220
Colfax,43106
Cuming,58610
Custer,44290
Dakota,41831
Dawes,37092
Dawson,43055
Deuel,44289
Dixon,44185
Dodge,47330
Douglas,63435
Dundy,53144
Fillmore,57068
Franklin,47132
Frontier,44469
Furnas,49008
Gage,49863
Garden,40892
Garfield,43905
Gosper,52671
Grant,42545
Greeley,45109
Hall,43625
Hamilton,54782
Harlan,48143
Hayes,45409
Hitchcock,37990
Holt,51404
Hooker,52667
Howard,41377
Jefferson,48757
Johnson,37179
Kearney,56309
Keith,45896
Keya Paha,58784
Kimball,44069
Knox,48268
Lancaster,49889
