County_Name,income_ratio
Middlesex,5
Nantucket,3
Norfolk,4
Plymouth,4
Suffolk,7
Worcester,5
Alcona,4
Alger,4
Allegan,3
Alpena,4
Antrim,4
Arenac,4
Baraga,4
Barry,3
Bay,4
Benzie,3
Berrien,4
Branch,3
Calhoun,4
Cass,3
Charlevoix,4
Cheboygan,3
Chippewa,4
Clare,4
Clinton,3
Crawford,4
Delta,4
Dickinson,4
Eaton,3
Emmet,4
Genesee,4
Gladwin,4
Gogebic,4
Grand Traverse,3
Gratiot,4
Hillsdale,4
Houghton,5
Huron,4
Ingham,4
Ionia,3
Iosco,3
Iron,4
Isabella,5
Jackson,4
Kalamazoo,4
Kalkaska,4
Kent,4
Keweenaw,4
Lake,4
Lapeer,3
Leelanau,3
Lenawee,3
Livingston,3
Luce,3
Mackinac,4
Macomb,4
Manistee,3
Marquette,4
Mason,4
Mecosta,4
Menominee,4
Midland,4
Missaukee,3
Monroe,4
Montcalm,4
Montmorency,3
Muskegon,4
Newaygo,4
Oakland,4
Oceana,3
Ogemaw,3
Ontonagon,3
Osceola,4
Oscoda,3
Otsego,3
Ottawa,3
Presque Isle,4
Roscommon,4
Saginaw,4
St. Clair,4
St. Joseph,3
Sanilac,4
Schoolcraft,4
Shiawassee,3
Tuscola,3
Van Buren,4
Washtenaw,5
Wayne,5
Wexford,3
Aitkin,4
Anoka,3
Becker,4
Beltrami,4
Benton,4
Big Stone,4
Blue Earth,4
Brown,3
Carlton,3
Carver,3
Cass,4
Chippewa,4
Chisago,3
Clay,4
Clearwater,4
Cook,3
Cottonwood,3
Crow Wing,4
Dakota,3
Dodge,3
Douglas,4
Faribault,4
Fillmore,3
Freeborn,3
Goodhue,4
Grant,3
Hennepin,4
Houston,3
Hubbard,3
Isanti,3
Itasca,4
Jackson,3
Kanabec,3
Kandiyohi,4
Kittson,3
Koochiching,4
Lac qui Parle,4
Lake,3
Lake of the Woods,3
Le Sueur,3
Lincoln,4
Lyon,4
McLeod,3
Mahnomen,4
Marshall,3
Martin,4
Meeker,3
Mille Lacs,4
Morrison,4
Mower,4
Murray,3
Nicollet,3
Nobles,4
Norman,3
Olmsted,4
Otter Tail,4
Pennington,4
Pine,4
Pipestone,4
Polk,5
Pope,3
Ramsey,4
Red Lake,3
Redwood,4
Renville,3
Rice,4
Rock,4
Roseau,3
St. Louis,4
Scott,3
Sherburne,3
Sibley,3
Stearns,4
Steele,3
