County_Name,Natural_increase_in_population
Gosper,2
Grant,6
Greeley,6
Hall,430
Hamilton,22
Harlan,-8
Hayes,15
Hitchcock,-17
Holt,19
Hooker,-1
Howard,13
Jefferson,-9
Johnson,-16
Kearney,18
Keith,3
Keya Paha,-2
Kimball,-9
Knox,1
Lancaster,1738
Lincoln,68
Logan,-2
Loup,2
McPherson,1
Madison,128
Merrick,5
Morrill,3
Nance,9
Nemaha,34
Nuckolls,-18
Otoe,38
Pawnee,2
Perkins,7
Phelps,24
Pierce,20
Platte,180
Polk,-2
Red Willow,12
Richardson,-28
Rock,-1
Saline,59
Sarpy,1421
Saunders,45
Scotts Bluff,66
Seward,32
Sheridan,-6
Sherman,-1
Sioux,9
Stanton,30
Thayer,-26
Thomas,6
Thurston,69
Valley,0
Washington,31
Wayne,27
Webster,-8
Wheeler,2
York,35
Churchill,67
Clark,9129
Douglas,-262
Elko,404
Esmeralda,-1
Eureka,2
Humboldt,109
Lander,39
Lincoln,-7
Lyon,45
Mineral,-43
Nye,-356
Pershing,10
Storey,-10
Washoe,1227
White Pine,8
Carson City,-39
Belknap,-297
Carroll,-257
Cheshire,-82
Coos,-194
Grafton,-149
Hillsborough,758
Merrimack,-83
Rockingham,144
Strafford,91
Sullivan,-52
Atlantic,-75
Bergen,1905
Burlington,311
Camden,1182
Cape May,-565
Cumberland,322
Essex,3708
Gloucester,147
Hudson,5648
Hunterdon,-37
Mercer,1034
Middlesex,2623
Monmouth,-223
Morris,711
Ocean,1464
Passaic,2833
Salem,-72
Somerset,420
Sussex,-59
Union,2543
Warren,-42
Bernalillo,1181
Catron,-18
Chaves,184
Cibola,43
Colfax,-14
Curry,446
De Baca,-3
Dona Ana,1015
Eddy,255
Grant,-69
Guadalupe,-2
Harding,-7
Hidalgo,-10
Lea,579
Lincoln,-33
Los Alamos,62
Luna,65
McKinley,175
Mora,-7
Otero,319
Quay,-5
Rio Arriba,-42
Roosevelt,108
Sandoval,260
